CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,adh,CATAGEAD,CATadh,is_adh
3,0,0,A,1980-03-31,0,21,36,23,31_40,21_30,demissionnaire
4,0,0,C,1998-03-16,0,21,25,8,21_30,0_10,demissionnaire
2,0,0,C,2001-02-06,0,21,28,5,21_30,0_10,demissionnaire
4,0,enfants,C,1994-11-10,2,10,27,13,21_30,11_20,adherent
2,0,enfants,U,2002-04-26,2,10,35,5,31_40,0_10,adherent
3,1804,0,M,1983-03-29,2,10,47,24,41_50,21_30,adherent
3,0,0,M,1982-02-05,0,21,38,23,31_40,21_30,demissionnaire
3,0,0,A,2002-02-18,0,25,43,5,41_50,0_10,adherent
2,0,0,A,1983-08-18,0,21,54,24,51_60,21_30,adherent
4,1521,0,C,2003-04-11,2,10,29,4,21_30,0_10,adherent
3,0,0,A,1983-03-16,0,21,31,16,31_40,11_20,demissionnaire
3,0,enfants,M,2000-09-28,0,21,51,4,51_60,0_10,demissionnaire
2,0,0,A,1985-08-28,0,21,24,20,21_30,11_20,demissionnaire
3,0,0,M,1979-12-17,0,21,50,27,41_50,21_30,demissionnaire
3,0,enfants,M,1999-06-04,0,21,51,5,51_60,0_10,demissionnaire
2,0,0,U,1982-02-11,0,21,32,24,31_40,21_30,demissionnaire
3,0,enfants,M,1999-09-30,0,10,36,8,31_40,0_10,adherent
4,0,0,C,1986-07-08,0,21,48,17,41_50,11_20,demissionnaire
2,0,0,M,2002-10-21,2,10,28,5,21_30,0_10,adherent
3,0,0,A,1978-04-21,0,21,49,23,41_50,21_30,demissionnaire
3,0,0,D,1993-11-04,0,21,43,12,41_50,11_20,demissionnaire
2,0,0,A,1973-06-14,0,21,35,33,31_40,31_40,demissionnaire
3,1722,enfants,A,1993-10-14,0,21,46,12,41_50,11_20,demissionnaire
2,0,0,A,1978-07-10,0,21,25,27,21_30,21_30,demissionnaire
2,0,0,C,1996-12-05,0,21,20,4,11_20,0_10,demissionnaire
3,0,0,A,1972-01-28,0,21,34,29,31_40,21_30,demissionnaire
3,0,0,M,1981-11-09,2,10,34,26,31_40,21_30,adherent
3,1400,0,M,1997-04-21,0,21,54,9,51_60,0_10,demissionnaire
2,1950,enfants,D,1987-09-01,2,10,45,20,41_50,11_20,adherent
2,0,0,A,2002-01-30,0,21,26,0,21_30,0_10,demissionnaire
3,0,0,M,2000-01-18,0,25,54,6,51_60,0_10,demissionnaire
3,0,0,D,1977-02-18,0,21,50,26,41_50,21_30,demissionnaire
2,0,0,A,1991-10-08,0,21,30,11,21_30,11_20,demissionnaire
2,0,0,M,2000-09-13,0,21,27,2,21_30,0_10,demissionnaire
4,1047,enfants,C,2000-02-10,0,21,29,5,21_30,0_10,demissionnaire
3,0,0,B,1997-03-26,0,21,38,8,31_40,0_10,demissionnaire
3,2106,enfants,M,1989-10-24,2,10,39,18,31_40,11_20,adherent
3,0,0,A,1978-06-16,0,10,41,29,41_50,21_30,adherent
2,0,0,A,1981-03-30,0,21,53,22,51_60,21_30,demissionnaire
2,0,0,A,2001-09-06,0,21,50,3,41_50,0_10,demissionnaire
4,0,0,C,1997-09-11,0,10,21,10,21_30,0_10,adherent
2,1400,enfants,M,1993-12-16,2,10,23,14,21_30,11_20,adherent
3,0,0,A,1999-08-30,2,21,42,0,41_50,0_10,demissionnaire
2,0,0,A,1972-06-06,0,21,29,27,21_30,21_30,demissionnaire
2,0,enfants,M,2006-05-18,2,10,40,1,31_40,0_10,adherent
3,0,0,A,1983-07-18,0,21,51,21,51_60,21_30,demissionnaire
3,0,0,M,2004-04-15,0,21,31,2,31_40,0_10,demissionnaire
3,0,0,M,1983-06-02,2,10,44,24,41_50,21_30,adherent
2,0,enfants,U,1999-08-26,2,10,39,8,31_40,0_10,adherent
2,0,0,A,1988-01-15,0,21,38,19,31_40,11_20,adherent
2,0,0,A,2003-02-26,0,25,40,4,31_40,0_10,adherent
2,0,0,A,1991-10-10,0,21,33,11,31_40,11_20,demissionnaire
2,0,0,C,2005-05-26,0,21,20,0,11_20,0_10,demissionnaire
3,0,0,A,1981-02-18,0,21,28,21,21_30,21_30,demissionnaire
3,4238,enfants,B,1981-01-07,2,10,33,26,31_40,21_30,adherent
2,2940,enfants,M,1980-05-28,0,21,30,26,21_30,21_30,demissionnaire
3,0,0,A,1989-03-02,0,21,40,15,31_40,11_20,demissionnaire
3,0,0,A,1984-11-15,0,21,36,18,31_40,11_20,demissionnaire
3,0,0,M,2004-08-05,0,21,37,2,31_40,0_10,demissionnaire
2,0,0,M,1988-07-13,0,21,53,16,51_60,11_20,demissionnaire
3,0,0,A,1998-05-26,2,21,34,1,31_40,0_10,demissionnaire
3,0,0,A,1990-02-26,0,21,64,9,61_70,0_10,demissionnaire
2,3037,0,M,1994-03-04,0,21,51,12,51_60,11_20,demissionnaire
3,0,0,A,1982-11-22,0,21,40,19,31_40,11_20,demissionnaire
2,0,0,A,1980-04-16,0,21,41,23,41_50,21_30,demissionnaire
2,0,0,A,1985-03-19,0,21,48,14,41_50,11_20,demissionnaire
2,0,0,M,2006-06-28,0,21,57,0,51_60,0_10,demissionnaire
3,0,0,A,2003-07-18,0,21,52,0,51_60,0_10,demissionnaire
2,0,0,A,1980-01-10,0,21,32,26,31_40,21_30,demissionnaire
2,0,0,A,1991-09-04,0,21,37,16,31_40,11_20,adherent
2,0,0,U,1984-12-12,0,21,37,17,31_40,11_20,demissionnaire
3,0,0,A,1986-09-22,0,21,36,15,31_40,11_20,demissionnaire
3,0,0,A,1978-09-21,0,21,59,22,51_60,21_30,demissionnaire
3,2120,0,B,1999-08-05,2,10,45,8,41_50,0_10,adherent
2,1647,0,U,2002-10-22,0,21,24,4,21_30,0_10,demissionnaire
2,0,0,A,1988-08-05,0,21,54,17,51_60,11_20,demissionnaire
2,0,0,A,1984-09-17,0,21,38,22,31_40,21_30,demissionnaire
4,0,0,C,1989-01-20,0,10,26,18,21_30,11_20,adherent
3,0,0,C,2006-01-11,2,10,35,1,31_40,0_10,adherent
4,0,0,C,2002-07-12,2,21,15,5,11_20,0_10,adherent
3,0,0,C,2003-06-19,2,10,34,4,31_40,0_10,adherent
3,0,0,M,2007-03-29,2,10,43,0,41_50,0_10,adherent
2,7012,0,A,1988-09-19,0,21,37,19,31_40,11_20,adherent
2,0,0,A,2000-03-16,0,25,58,1,51_60,0_10,demissionnaire
3,0,0,A,1999-02-05,0,21,30,0,21_30,0_10,demissionnaire
3,0,0,A,1977-06-07,0,21,37,28,31_40,21_30,demissionnaire
2,0,0,A,1972-03-14,0,21,24,31,21_30,31_40,demissionnaire
2,0,0,A,1995-10-02,0,10,38,12,31_40,11_20,adherent
2,1500,0,C,1982-05-12,2,10,22,25,21_30,21_30,adherent
3,1986,0,M,1983-07-07,0,10,39,24,31_40,21_30,adherent
2,4200,enfants,V,1997-05-30,2,10,44,10,41_50,0_10,adherent
2,0,0,A,1991-04-05,0,21,54,8,51_60,0_10,demissionnaire
4,0,0,C,1972-01-04,0,21,48,28,41_50,21_30,demissionnaire
3,0,0,A,1999-04-16,0,21,26,4,21_30,0_10,demissionnaire
2,0,0,M,1979-04-12,2,10,28,28,21_30,21_30,adherent
3,0,0,A,1995-07-11,0,21,37,11,31_40,11_20,demissionnaire
3,1738,enfants,M,2004-08-06,0,21,40,1,31_40,0_10,demissionnaire
2,0,enfants,M,1979-06-14,2,10,33,28,31_40,21_30,adherent
2,0,0,M,1998-10-22,0,21,51,6,51_60,0_10,demissionnaire
2,0,0,A,1996-10-11,0,21,23,10,21_30,0_10,demissionnaire
2,0,0,C,1999-10-13,2,10,24,8,21_30,0_10,adherent
2,0,0,A,1986-05-06,2,21,41,13,41_50,11_20,demissionnaire
3,0,0,M,1982-06-25,0,21,33,24,31_40,21_30,demissionnaire
2,0,0,M,1981-03-06,2,10,33,26,31_40,21_30,adherent
3,0,0,A,1987-09-28,0,21,43,15,41_50,11_20,demissionnaire
2,1112,0,M,2001-03-01,0,21,52,6,51_60,0_10,adherent
3,0,0,A,1980-11-28,0,21,40,26,31_40,21_30,demissionnaire
2,0,0,A,2000-07-24,0,21,27,0,21_30,0_10,demissionnaire
4,1900,0,C,2003-07-31,0,21,32,3,31_40,0_10,demissionnaire
3,0,0,A,1980-07-28,0,21,57,23,51_60,21_30,demissionnaire
3,0,0,M,2004-04-05,0,21,62,0,61_70,0_10,demissionnaire
3,0,0,M,1998-11-26,0,21,38,6,31_40,0_10,demissionnaire
4,0,0,C,1986-02-24,0,21,37,15,31_40,11_20,demissionnaire
2,0,0,A,2002-09-16,0,21,25,0,21_30,0_10,demissionnaire
2,2851,enfants,A,2000-08-28,0,21,52,5,51_60,0_10,demissionnaire
2,0,0,M,1999-11-22,2,10,34,8,31_40,0_10,adherent
2,0,0,A,1992-04-29,0,21,46,13,41_50,11_20,demissionnaire
2,0,0,A,1996-01-09,2,21,53,6,51_60,0_10,demissionnaire
3,0,0,A,2003-10-15,0,21,44,0,41_50,0_10,demissionnaire
3,0,enfants,A,1993-08-06,0,21,25,12,21_30,11_20,demissionnaire
4,0,0,P,2004-01-13,2,10,32,3,31_40,0_10,adherent
2,0,0,A,1984-06-07,0,21,34,21,31_40,21_30,demissionnaire
3,900,0,M,1999-02-22,2,10,50,8,41_50,0_10,adherent
2,0,0,A,2005-06-08,0,25,56,2,51_60,0_10,adherent
2,0,0,A,2000-06-26,0,23,31,7,31_40,0_10,adherent
2,0,0,A,1982-06-16,0,21,37,20,31_40,11_20,demissionnaire
