Id;CDSEXE;MTREV;NBENF;CDSITFAM;DTADH;CDTMT;CDDEM;DTDEM;ANNEE_DEM;CDMOTDEM;CDCATCL;AGEAD;rangagead;agedem;rangagedem;rangdem;adh;rangadh;LBL_rangagead;ID_rangagead;LBL_agedem;ID_agedem;LBL_rangadh;ID_rangadh
145;2;0;0;A;12/05/1981;0;2;19/02/1999;1999;DV;21;34;3  31-35;52;7  51-55;1  1999;18;4  15-19;31-35;3;51-55;7;15-19;4
146;2;0;0;A;19/05/1981;0;2;21/03/2002;2002;DV;21;38;4  36-40;59;8  56-60;4  2002;21;5  20-24;36-40;4;56-60;8;20-24;5
147;2;0;0;A;08/10/1981;0;2;27/09/1999;1999;DV;21;41;5  41-45;59;8  56-60;1  1999;18;4  15-19;41-45;5;56-60;8;15-19;4
148;2;0;0;A;06/01/1982;0;2;03/09/1999;1999;DV;21;31;3  31-35;48;6  46-50;1  1999;17;4  15-19;31-35;3;46-50;6;15-19;4
149;4;0;0;C;30/03/1982;0;2;01/12/2000;2000;RA;21;50;6  46-50;68;a  66-70;2  2000;18;4  15-19;46-50;6;66-70;a;15-19;4
150;2;0;0;A;09/09/1982;0;2;07/07/2003;2003;DV;21;27;2  26-30;48;6  46-50;5  2003;21;5  20-24;26-30;2;46-50;6;20-24;5
151;3;1863;0;A;22/11/1982;0;2;12/03/2004;2004;DV;21;39;4  36-40;61;9  61-65;6  2004;22;5  20-24;36-40;4;61-65;9;20-24;5
152;3;0;0;A;25/11/1982;0;2;19/11/2002;2002;DV;21;54;7  51-55;74;b  71-+;4  2002;20;5  20-24;51-55;7;71-+;b;20-24;5
153;3;0;0;A;13/04/1983;0;2;19/10/2005;2005;DV;10;26;2  26-30;48;6  46-50;7  2005;22;5  20-24;26-30;2;46-50;6;20-24;5
154;3;1326;2;D;13/04/1983;0;2;03/01/2005;2005;DV;21;26;2  26-30;48;6  46-50;7  2005;22;5  20-24;26-30;2;46-50;6;20-24;5
155;2;0;0;A;21/11/1983;0;2;26/05/2004;2004;DV;21;46;6  46-50;67;a  66-70;6  2004;21;5  20-24;46-50;6;66-70;a;20-24;5
156;2;0;0;A;02/12/1983;0;2;28/08/2003;2003;DV;21;43;5  41-45;63;9  61-65;5  2003;20;5  20-24;41-45;5;61-65;9;20-24;5
157;2;0;0;A;17/12/1982;0;2;15/03/2000;2000;DV;21;27;2  26-30;45;5  41-45;2  2000;18;4  15-19;26-30;2;41-45;5;15-19;4
158;3;0;0;A;14/01/1972;0;2;18/07/2000;2000;DV;21;34;3  31-35;62;9  61-65;2  2000;28;6  25-29;31-35;3;61-65;9;25-29;6
159;3;0;0;M;01/02/1972;0;2;19/11/2004;2004;DV;21;54;7  51-55;86;b  71-+;6  2004;32;7  30-34;51-55;7;71-+;b;30-34;7
160;2;0;0;A;20/07/1972;0;2;18/07/2000;2000;DV;21;35;3  31-35;63;9  61-65;2  2000;28;6  25-29;31-35;3;61-65;9;25-29;6
161;3;0;0;A;23/02/1973;0;2;20/05/1999;1999;DV;21;28;2  26-30;54;7  51-55;1  1999;26;6  25-29;26-30;2;51-55;7;25-29;6
162;2;0;0;A;02/04/1973;0;2;10/06/2005;2005;DV;21;30;2  26-30;62;9  61-65;7  2005;32;7  30-34;26-30;2;61-65;9;30-34;7
163;2;0;2;A;13/08/1976;0;2;15/12/2005;2005;DV;21;35;3  31-35;64;9  61-65;7  2005;29;6  25-29;31-35;3;61-65;9;25-29;6
164;3;1006;2;M;13/08/1976;0;2;15/12/2005;2005;DV;21;30;2  26-30;59;8  56-60;7  2005;29;6  25-29;26-30;2;56-60;8;25-29;6
165;3;0;0;A;20/09/1976;0;2;20/10/2004;2004;DA;21;24;1  19-25;52;7  51-55;6  2004;28;6  25-29;19-25;1;51-55;7;25-29;6
166;3;0;0;A;24/12/1976;0;2;25/01/2001;2001;DV;21;41;5  41-45;66;a  66-70;3  2001;25;6  25-29;41-45;5;66-70;a;25-29;6
167;3;0;0;A;08/02/1979;0;2;01/06/2004;2004;DV;21;40;4  36-40;65;9  61-65;6  2004;25;6  25-29;36-40;4;61-65;9;25-29;6
168;2;0;0;A;08/02/1979;0;2;01/06/2004;2004;DV;21;40;4  36-40;65;9  61-65;6  2004;25;6  25-29;36-40;4;61-65;9;25-29;6
169;2;0;0;A;16/05/1979;0;2;19/02/2001;2001;DV;21;46;6  46-50;68;a  66-70;3  2001;22;5  20-24;46-50;6;66-70;a;20-24;5
170;2;0;0;A;31/10/1979;0;2;03/05/2006;2006;DV;21;40;4  36-40;67;a  66-70;8  2006;27;6  25-29;36-40;4;66-70;a;25-29;6
171;4;0;0;C;21/01/1980;0;2;17/12/2001;2001;DV;21;42;5  41-45;63;9  61-65;3  2001;21;5  20-24;41-45;5;61-65;9;20-24;5
172;3;0;0;D;10/04/1980;0;2;02/10/2000;2000;DV;21;31;3  31-35;51;7  51-55;2  2000;20;5  20-24;31-35;3;51-55;7;20-24;5
173;2;0;0;A;28/05/1980;0;2;20/12/2004;2004;DV;21;42;5  41-45;66;a  66-70;6  2004;24;5  20-24;41-45;5;66-70;a;20-24;5
174;2;0;0;M;25/06/1980;0;2;05/01/2005;2005;DV;21;37;4  36-40;62;9  61-65;7  2005;25;6  25-29;36-40;4;61-65;9;25-29;6
175;2;0;0;A;02/04/1981;0;2;29/12/2005;2005;DV;21;40;4  36-40;64;9  61-65;7  2005;24;5  20-24;36-40;4;61-65;9;20-24;5
176;3;0;0;A;23/04/1981;0;2;19/07/2006;2006;DV;21;65;8  56-+;90;b  71-+;8  2006;25;6  25-29;56-+;8;71-+;b;25-29;6
177;3;0;0;A;15/06/1981;0;2;19/07/1999;1999;RA;21;27;2  26-30;45;5  41-45;1  1999;18;4  15-19;26-30;2;41-45;5;15-19;4
178;2;2832;2;M;01/12/1981;0;2;28/12/2001;2001;DV;21;35;3  31-35;55;7  51-55;3  2001;20;5  20-24;31-35;3;51-55;7;20-24;5
179;2;0;0;A;28/12/1981;0;2;25/09/2000;2000;DV;21;32;3  31-35;51;7  51-55;2  2000;19;4  15-19;31-35;3;51-55;7;15-19;4
180;3;0;0;A;23/03/1982;0;2;17/02/2004;2004;DV;21;44;5  41-45;66;a  66-70;6  2004;22;5  20-24;41-45;5;66-70;a;20-24;5
181;3;0;0;A;18/10/1983;0;2;23/09/2005;2005;DV;10;23;1  19-25;45;5  41-45;7  2005;22;5  20-24;19-25;1;41-45;5;20-24;5
182;2;0;0;M;18/10/1983;0;2;19/07/2005;2005;DV;21;46;6  46-50;68;a  66-70;7  2005;22;5  20-24;46-50;6;66-70;a;20-24;5
183;3;0;0;A;27/02/1976;0;2;29/08/2003;2003;DV;21;33;3  31-35;60;8  56-60;5  2003;27;6  25-29;31-35;3;56-60;8;25-29;6
184;3;0;0;A;19/10/1976;0;2;11/01/2001;2001;DV;21;36;4  36-40;61;9  61-65;3  2001;25;6  25-29;36-40;4;61-65;9;25-29;6
185;3;0;0;M;09/01/1979;0;2;22/08/2001;2001;DA;21;34;3  31-35;56;8  56-60;3  2001;22;5  20-24;31-35;3;56-60;8;20-24;5
186;3;0;0;M;16/05/1979;0;2;17/05/2006;2006;DV;21;37;4  36-40;64;9  61-65;8  2006;27;6  25-29;36-40;4;61-65;9;25-29;6
187;2;1115;0;M;05/06/1979;0;2;17/05/2006;2006;DV;21;37;4  36-40;64;9  61-65;8  2006;27;6  25-29;36-40;4;61-65;9;25-29;6
188;2;0;0;A;22/10/1979;0;2;18/10/2005;2005;DV;10;35;3  31-35;61;9  61-65;7  2005;26;6  25-29;31-35;3;61-65;9;25-29;6
189;2;0;0;A;21/04/1980;0;2;10/04/2003;2003;RA;21;34;3  31-35;57;8  56-60;5  2003;23;5  20-24;31-35;3;56-60;8;20-24;5
190;3;2828;0;V;17/11/1980;0;2;22/03/2005;2005;DV;21;41;5  41-45;66;a  66-70;7  2005;25;6  25-29;41-45;5;66-70;a;25-29;6
191;3;0;0;A;22/12/1980;0;2;24/03/2004;2004;DV;21;49;6  46-50;73;b  71-+;6  2004;24;5  20-24;46-50;6;71-+;b;20-24;5
192;2;0;0;A;22/12/1980;0;2;24/03/2004;2004;DV;21;52;7  51-55;76;b  71-+;6  2004;24;5  20-24;51-55;7;71-+;b;20-24;5
193;2;0;0;A;13/04/1981;0;2;02/11/2000;2000;RA;21;38;4  36-40;57;8  56-60;2  2000;19;4  15-19;36-40;4;56-60;8;15-19;4
194;3;0;0;M;16/12/1981;0;2;27/06/2006;2006;DV;21;42;5  41-45;67;a  66-70;8  2006;25;6  25-29;41-45;5;66-70;a;25-29;6
195;2;0;0;A;07/02/1983;0;2;19/07/1999;1999;RA;21;25;1  19-25;41;5  41-45;1  1999;16;4  15-19;19-25;1;41-45;5;15-19;4
196;2;2113;1;M;01/09/1983;0;2;13/11/2001;2001;DV;21;24;1  19-25;42;5  41-45;3  2001;18;4  15-19;19-25;1;41-45;5;15-19;4
197;3;0;0;A;21/02/1972;0;2;01/08/2000;2000;DV;21;34;3  31-35;62;9  61-65;2  2000;28;6  25-29;31-35;3;61-65;9;25-29;6
198;3;0;0;A;29/05/1972;0;2;24/12/1999;1999;DV;21;28;2  26-30;55;7  51-55;1  1999;27;6  25-29;26-30;2;51-55;7;25-29;6
199;3;0;0;A;20/11/1972;0;2;31/08/2005;2005;DV;10;48;6  46-50;81;b  71-+;7  2005;33;7  30-34;46-50;6;71-+;b;30-34;7
200;2;0;0;A;20/11/1972;0;2;31/08/2005;2005;DV;10;43;5  41-45;76;b  71-+;7  2005;33;7  30-34;41-45;5;71-+;b;30-34;7
201;2;0;0;A;13/04/1973;0;2;12/07/2002;2002;DV;21;44;5  41-45;73;b  71-+;4  2002;29;6  25-29;41-45;5;71-+;b;25-29;6
202;3;0;0;D;09/05/1973;0;2;09/11/1999;1999;DA;21;23;1  19-25;49;6  46-50;1  1999;26;6  25-29;19-25;1;46-50;6;25-29;6
203;2;0;0;A;14/05/1973;0;2;17/01/2002;2002;DV;21;29;2  26-30;58;8  56-60;4  2002;29;6  25-29;26-30;2;56-60;8;25-29;6
204;2;0;0;A;14/06/1973;0;2;03/11/2006;2006;DV;21;35;3  31-35;68;a  66-70;8  2006;33;7  30-34;31-35;3;66-70;a;30-34;7
205;3;0;0;A;14/06/1973;0;2;04/09/2003;2003;DV;21;31;3  31-35;61;9  61-65;5  2003;30;7  30-34;31-35;3;61-65;9;30-34;7
206;3;0;0;A;27/06/1973;0;2;16/07/2002;2002;DV;21;22;1  19-25;51;7  51-55;4  2002;29;6  25-29;19-25;1;51-55;7;25-29;6
207;2;0;0;A;28/08/1973;0;2;12/07/2002;2002;DV;21;29;2  26-30;58;8  56-60;4  2002;29;6  25-29;26-30;2;56-60;8;25-29;6
208;2;0;0;M;27/12/1973;0;2;22/11/2006;2006;DV;21;36;4  36-40;69;a  66-70;8  2006;33;7  30-34;36-40;4;66-70;a;30-34;7
209;4;0;0;C;01/02/1974;0;2;28/01/2002;2002;DV;21;36;4  36-40;64;9  61-65;4  2002;28;6  25-29;36-40;4;61-65;9;25-29;6
210;3;0;0;A;17/06/1974;0;2;13/10/2000;2000;DV;21;54;7  51-55;80;b  71-+;2  2000;26;6  25-29;51-55;7;71-+;b;25-29;6
211;3;0;0;A;27/01/1975;0;2;13/06/2001;2001;DV;21;34;3  31-35;60;8  56-60;3  2001;26;6  25-29;31-35;3;56-60;8;25-29;6
212;4;0;0;C;13/02/1975;0;2;25/09/2000;2000;DV;21;60;8  56-+;85;b  71-+;2  2000;25;6  25-29;56-+;8;71-+;b;25-29;6
213;2;0;0;A;17/02/1975;0;2;04/02/2002;2002;DV;21;32;3  31-35;59;8  56-60;4  2002;27;6  25-29;31-35;3;56-60;8;25-29;6
214;4;0;0;C;20/02/1975;0;2;03/01/2003;2003;DV;21;27;2  26-30;55;7  51-55;5  2003;28;6  25-29;26-30;2;51-55;7;25-29;6
215;3;0;0;A;12/03/1975;0;2;30/01/2003;2003;DV;21;29;2  26-30;57;8  56-60;5  2003;28;6  25-29;26-30;2;56-60;8;25-29;6
216;2;0;0;M;14/03/1975;0;2;17/12/2004;2004;DV;21;42;5  41-45;71;b  71-+;6  2004;29;6  25-29;41-45;5;71-+;b;25-29;6
217;2;0;0;A;11/08/1975;0;2;27/11/2006;2006;DV;21;36;4  36-40;67;a  66-70;8  2006;31;7  30-34;36-40;4;66-70;a;30-34;7
218;2;0;0;M;14/10/1975;0;2;06/10/2005;2005;DV;21;56;8  56-+;86;b  71-+;7  2005;30;7  30-34;56-+;8;71-+;b;30-34;7
219;2;0;0;A;28/10/1975;0;2;19/10/2005;2005;DV;10;38;4  36-40;68;a  66-70;7  2005;30;7  30-34;36-40;4;66-70;a;30-34;7
220;2;0;0;A;02/12/1975;0;2;31/01/2002;2002;DV;21;37;4  36-40;64;9  61-65;4  2002;27;6  25-29;36-40;4;61-65;9;25-29;6
221;2;0;0;A;11/12/1975;0;2;06/09/1999;1999;DV;21;42;5  41-45;66;a  66-70;1  1999;24;5  20-24;41-45;5;66-70;a;20-24;5
222;2;0;0;A;06/02/1976;2;2;28/03/2002;2002;DV;21;44;5  41-45;70;a  66-70;4  2002;26;6  25-29;41-45;5;66-70;a;25-29;6
223;4;0;0;C;12/03/1976;0;2;26/10/1999;1999;DV;21;42;5  41-45;65;9  61-65;1  1999;23;5  20-24;41-45;5;61-65;9;20-24;5
224;3;0;0;A;17/05/1976;0;2;30/11/2000;2000;DV;21;35;3  31-35;59;8  56-60;2  2000;24;5  20-24;31-35;3;56-60;8;20-24;5
225;2;0;0;A;17/05/1976;0;2;30/11/2000;2000;DV;21;36;4  36-40;60;8  56-60;2  2000;24;5  20-24;36-40;4;56-60;8;20-24;5
226;3;0;0;A;04/10/1976;0;2;21/12/2004;2004;DV;21;29;2  26-30;57;8  56-60;6  2004;28;6  25-29;26-30;2;56-60;8;25-29;6
227;3;0;0;M;11/10/1976;0;2;16/12/2005;2005;DV;21;29;2  26-30;58;8  56-60;7  2005;29;6  25-29;26-30;2;56-60;8;25-29;6
228;3;0;0;M;30/12/1976;2;2;20/10/1999;1999;DA;21;30;2  26-30;53;7  51-55;1  1999;23;5  20-24;26-30;2;51-55;7;20-24;5
229;4;0;0;C;24/01/1977;0;2;15/02/2001;2001;DV;21;57;8  56-+;81;b  71-+;3  2001;24;5  20-24;56-+;8;71-+;b;20-24;5
