Id;CDSEXE;MTREV;NBENF;CDSITFAM;DTADH;CDTMT;CDDEM;DTDEM;ANNEE_DEM;CDMOTDEM;CDCATCL;AGEAD;rangagead;agedem;rangagedem;rangdem;adh;rangadh;LBL_rangagead;ID_rangagead;LBL_agedem;ID_agedem;LBL_rangadh;ID_rangadh
7323;2;0;0;A;05/03/1982;0;2;02/05/2005;2005;DV;21;42;5  41-45;65;9  61-65;7  2005;23;5  20-24;41-45;5;61-65;9;20-24;5
7324;2;0;0;A;05/03/1982;0;2;10/08/2001;2001;DV;21;49;6  46-50;68;a  66-70;3  2001;19;4  15-19;46-50;6;66-70;a;15-19;4
7325;3;0;0;A;12/03/1982;0;2;03/11/2000;2000;DV;21;20;1  19-25;38;4  36-40;2  2000;18;4  15-19;19-25;1;36-40;4;15-19;4
7326;3;0;2;M;22/03/1982;0;2;02/12/2005;2005;DV;21;29;2  26-30;52;7  51-55;7  2005;23;5  20-24;26-30;2;51-55;7;20-24;5
7327;2;0;0;A;08/04/1982;0;2;23/12/2003;2003;DV;21;42;5  41-45;63;9  61-65;5  2003;21;5  20-24;41-45;5;61-65;9;20-24;5
7328;2;0;0;A;08/04/1982;0;2;10/01/2002;2002;DV;21;21;1  19-25;41;5  41-45;4  2002;20;5  20-24;19-25;1;41-45;5;20-24;5
7329;3;0;0;A;19/04/1982;0;2;22/12/2000;2000;DV;21;39;4  36-40;57;8  56-60;2  2000;18;4  15-19;36-40;4;56-60;8;15-19;4
7330;2;0;0;D;13/05/1982;0;2;28/12/2004;2004;DV;21;21;1  19-25;43;5  41-45;6  2004;22;5  20-24;19-25;1;41-45;5;20-24;5
7331;3;1905;3;M;04/06/1982;0;2;29/07/2002;2002;DV;21;20;1  19-25;40;4  36-40;4  2002;20;5  20-24;19-25;1;36-40;4;20-24;5
7332;4;0;0;C;22/06/1982;0;2;30/10/2000;2000;DV;21;20;1  19-25;38;4  36-40;2  2000;18;4  15-19;19-25;1;36-40;4;15-19;4
7333;3;0;0;A;24/06/1982;0;2;27/06/2003;2003;DV;21;21;1  19-25;42;5  41-45;5  2003;21;5  20-24;19-25;1;41-45;5;20-24;5
7334;2;0;0;D;24/06/1982;0;2;13/01/2005;2005;DV;21;37;4  36-40;60;8  56-60;7  2005;23;5  20-24;36-40;4;56-60;8;20-24;5
7335;3;0;0;A;05/07/1982;0;2;17/03/1999;1999;DV;21;23;1  19-25;40;4  36-40;1  1999;17;4  15-19;19-25;1;36-40;4;15-19;4
7336;3;0;0;A;05/07/1982;0;2;02/12/2004;2004;DV;21;29;2  26-30;51;7  51-55;6  2004;22;5  20-24;26-30;2;51-55;7;20-24;5
7337;2;0;0;A;07/07/1982;0;2;09/02/2001;2001;DV;21;20;1  19-25;39;4  36-40;3  2001;19;4  15-19;19-25;1;36-40;4;15-19;4
7338;3;0;0;M;15/07/1982;0;2;12/04/2000;2000;DA;21;20;1  19-25;38;4  36-40;2  2000;18;4  15-19;19-25;1;36-40;4;15-19;4
7339;3;0;0;A;08/07/1982;0;2;03/05/2001;2001;DV;21;34;3  31-35;53;7  51-55;3  2001;19;4  15-19;31-35;3;51-55;7;15-19;4
7340;3;0;0;A;26/07/1982;0;2;13/02/2006;2006;DV;21;31;3  31-35;55;7  51-55;8  2006;24;5  20-24;31-35;3;51-55;7;20-24;5
7341;2;0;0;M;26/07/1982;0;2;15/11/2002;2002;DV;21;20;1  19-25;40;4  36-40;4  2002;20;5  20-24;19-25;1;36-40;4;20-24;5
7342;2;0;0;A;23/08/1982;0;2;17/02/2003;2003;DV;21;25;1  19-25;46;6  46-50;5  2003;21;5  20-24;19-25;1;46-50;6;20-24;5
7343;2;0;0;A;09/08/1982;0;2;24/03/2006;2006;RA;21;34;3  31-35;58;8  56-60;8  2006;24;5  20-24;31-35;3;56-60;8;20-24;5
7344;3;0;0;A;27/08/1982;0;2;16/02/2001;2001;DV;21;26;2  26-30;45;5  41-45;3  2001;19;4  15-19;26-30;2;41-45;5;15-19;4
7345;2;0;0;A;22/09/1982;0;2;18/05/2000;2000;DV;21;20;1  19-25;38;4  36-40;2  2000;18;4  15-19;19-25;1;36-40;4;15-19;4
7346;2;0;1;M;22/09/1982;0;2;20/06/2001;2001;DV;21;27;2  26-30;46;6  46-50;3  2001;19;4  15-19;26-30;2;46-50;6;15-19;4
7347;2;0;0;A;22/09/1982;0;2;20/01/2004;2004;DV;21;21;1  19-25;43;5  41-45;6  2004;22;5  20-24;19-25;1;41-45;5;20-24;5
7348;2;0;0;A;22/09/1982;0;2;29/12/2003;2003;DV;21;43;5  41-45;64;9  61-65;5  2003;21;5  20-24;41-45;5;61-65;9;20-24;5
7349;3;0;0;A;05/10/1982;2;2;02/04/1999;1999;DV;21;23;1  19-25;40;4  36-40;1  1999;17;4  15-19;19-25;1;36-40;4;15-19;4
7350;3;0;0;A;11/10/1982;0;2;23/01/2001;2001;DV;21;26;2  26-30;45;5  41-45;3  2001;19;4  15-19;26-30;2;41-45;5;15-19;4
7351;3;0;0;D;15/10/1982;0;2;06/01/2003;2003;DV;21;46;6  46-50;67;a  66-70;5  2003;21;5  20-24;46-50;6;66-70;a;20-24;5
7352;2;0;0;M;25/10/1982;0;2;25/10/2006;2006;DV;21;33;3  31-35;57;8  56-60;8  2006;24;5  20-24;31-35;3;56-60;8;20-24;5
7353;2;1200;0;M;02/12/1982;0;2;09/12/2005;2005;DV;21;36;4  36-40;59;8  56-60;7  2005;23;5  20-24;36-40;4;56-60;8;20-24;5
7354;2;0;0;A;25/10/1982;0;2;08/07/1999;1999;DV;21;22;1  19-25;39;4  36-40;1  1999;17;4  15-19;19-25;1;36-40;4;15-19;4
7355;3;0;0;D;03/11/1982;0;2;14/12/2004;2004;DV;21;43;5  41-45;65;9  61-65;6  2004;22;5  20-24;41-45;5;61-65;9;20-24;5
7356;4;0;0;C;03/11/1982;0;2;17/01/2002;2002;DV;21;28;2  26-30;48;6  46-50;4  2002;20;5  20-24;26-30;2;46-50;6;20-24;5
7357;2;0;0;A;03/11/1982;0;2;29/06/2004;2004;DV;21;36;4  36-40;58;8  56-60;6  2004;22;5  20-24;36-40;4;56-60;8;20-24;5
7358;3;0;0;A;08/11/1982;0;2;06/01/1999;1999;DV;21;41;5  41-45;58;8  56-60;1  1999;17;4  15-19;41-45;5;56-60;8;15-19;4
7359;2;0;0;M;08/11/1982;0;2;05/04/2002;2002;DV;21;37;4  36-40;57;8  56-60;4  2002;20;5  20-24;36-40;4;56-60;8;20-24;5
7360;2;0;0;A;08/11/1982;0;2;11/09/2000;2000;DV;21;21;1  19-25;39;4  36-40;2  2000;18;4  15-19;19-25;1;36-40;4;15-19;4
7361;2;0;0;A;18/11/1982;0;2;30/06/1999;1999;DV;21;19;1  19-25;36;4  36-40;1  1999;17;4  15-19;19-25;1;36-40;4;15-19;4
7362;2;0;0;A;23/11/1982;0;2;10/06/2002;2002;DV;21;21;1  19-25;41;5  41-45;4  2002;20;5  20-24;19-25;1;41-45;5;20-24;5
7363;2;0;0;A;23/11/1982;0;2;18/01/2005;2005;DV;21;39;4  36-40;62;9  61-65;7  2005;23;5  20-24;36-40;4;61-65;9;20-24;5
7364;3;0;0;B;13/12/1982;0;2;04/02/2005;2005;DV;21;29;2  26-30;52;7  51-55;7  2005;23;5  20-24;26-30;2;51-55;7;20-24;5
7365;2;0;0;A;17/12/1982;0;2;10/04/2006;2006;DV;21;25;1  19-25;49;6  46-50;8  2006;24;5  20-24;19-25;1;46-50;6;20-24;5
7366;3;0;0;U;22/12/1982;0;2;12/12/2005;2005;DV;21;35;3  31-35;58;8  56-60;7  2005;23;5  20-24;31-35;3;56-60;8;20-24;5
7367;2;0;0;A;18/01/1983;0;2;27/01/2004;2004;DV;21;40;4  36-40;61;9  61-65;6  2004;21;5  20-24;36-40;4;61-65;9;20-24;5
7368;3;0;0;A;18/01/1983;0;2;31/03/2000;2000;DV;21;39;4  36-40;56;8  56-60;2  2000;17;4  15-19;36-40;4;56-60;8;15-19;4
7369;2;0;0;A;18/01/1983;0;2;01/02/2002;2002;DV;21;56;8  56-+;75;b  71-+;4  2002;19;4  15-19;56-+;8;71-+;b;15-19;4
7370;2;0;0;M;18/01/1983;0;2;22/05/2003;2003;DV;21;47;6  46-50;67;a  66-70;5  2003;20;5  20-24;46-50;6;66-70;a;20-24;5
7371;3;0;0;A;07/02/1983;0;2;05/09/2006;2006;DV;21;59;8  56-+;82;b  71-+;8  2006;23;5  20-24;56-+;8;71-+;b;20-24;5
7372;2;0;0;A;22/02/1983;0;2;12/04/1999;1999;DV;21;27;2  26-30;43;5  41-45;1  1999;16;4  15-19;26-30;2;41-45;5;15-19;4
7373;3;0;0;A;28/02/1983;0;2;01/02/2002;2002;DV;21;33;3  31-35;52;7  51-55;4  2002;19;4  15-19;31-35;3;51-55;7;15-19;4
7374;2;0;0;A;03/03/1983;0;2;01/02/2002;2002;DV;21;29;2  26-30;48;6  46-50;4  2002;19;4  15-19;26-30;2;46-50;6;15-19;4
7375;2;0;0;M;15/03/1983;0;2;02/01/2006;2006;DV;21;33;3  31-35;56;8  56-60;8  2006;23;5  20-24;31-35;3;56-60;8;20-24;5
7376;4;0;0;C;11/04/1983;0;2;29/01/2001;2001;DV;21;23;1  19-25;41;5  41-45;3  2001;18;4  15-19;19-25;1;41-45;5;15-19;4
7377;3;2000;1;M;15/03/1983;0;2;21/12/2004;2004;DV;21;31;3  31-35;52;7  51-55;6  2004;21;5  20-24;31-35;3;51-55;7;20-24;5
7378;2;0;0;A;28/03/1983;0;2;23/12/2005;2005;DV;21;50;6  46-50;72;b  71-+;7  2005;22;5  20-24;46-50;6;71-+;b;20-24;5
7379;3;0;0;A;11/04/1983;0;2;11/12/2003;2003;DV;21;26;2  26-30;46;6  46-50;5  2003;20;5  20-24;26-30;2;46-50;6;20-24;5
7380;3;0;0;A;12/04/1983;0;2;18/09/2000;2000;DV;21;36;4  36-40;53;7  51-55;2  2000;17;4  15-19;36-40;4;51-55;7;15-19;4
7381;2;0;0;A;03/05/1983;0;2;09/10/2003;2003;DV;21;22;1  19-25;42;5  41-45;5  2003;20;5  20-24;19-25;1;41-45;5;20-24;5
7382;3;0;0;M;27/05/1983;0;2;19/05/2004;2004;DV;21;47;6  46-50;68;a  66-70;6  2004;21;5  20-24;46-50;6;66-70;a;20-24;5
7383;3;0;0;M;07/06/1983;0;2;25/10/2002;2002;DA;21;32;3  31-35;51;7  51-55;4  2002;19;4  15-19;31-35;3;51-55;7;15-19;4
7384;2;0;0;A;30/06/1983;0;2;28/07/2006;2006;RA;21;28;2  26-30;51;7  51-55;8  2006;23;5  20-24;26-30;2;51-55;7;20-24;5
7385;2;0;0;D;29/06/1983;0;2;04/01/2002;2002;DV;21;22;1  19-25;41;5  41-45;4  2002;19;4  15-19;19-25;1;41-45;5;15-19;4
7386;2;0;0;A;18/07/1983;0;2;19/01/2001;2001;DV;21;29;2  26-30;47;6  46-50;3  2001;18;4  15-19;26-30;2;46-50;6;15-19;4
7387;3;0;0;A;27/07/1983;0;2;26/07/2000;2000;DV;21;48;6  46-50;65;9  61-65;2  2000;17;4  15-19;46-50;6;61-65;9;15-19;4
7388;2;0;0;M;04/08/1983;0;2;09/02/2004;2004;DV;21;49;6  46-50;70;a  66-70;6  2004;21;5  20-24;46-50;6;66-70;a;20-24;5
7389;3;0;0;A;08/08/1983;0;2;07/03/2001;2001;DV;21;35;3  31-35;53;7  51-55;3  2001;18;4  15-19;31-35;3;51-55;7;15-19;4
7390;3;0;0;M;24/08/1983;0;2;13/04/2004;2004;DV;21;23;1  19-25;44;5  41-45;6  2004;21;5  20-24;19-25;1;41-45;5;20-24;5
7391;3;0;0;M;14/10/1983;0;2;14/12/2006;2006;DV;21;42;5  41-45;65;9  61-65;8  2006;23;5  20-24;41-45;5;61-65;9;20-24;5
7392;2;0;0;M;24/10/1983;0;2;15/06/2005;2005;DV;21;20;1  19-25;42;5  41-45;7  2005;22;5  20-24;19-25;1;41-45;5;20-24;5
7393;2;0;0;A;02/11/1983;0;2;25/01/1999;1999;DV;21;21;1  19-25;37;4  36-40;1  1999;16;4  15-19;19-25;1;36-40;4;15-19;4
7394;2;0;0;A;23/11/1983;0;2;12/10/2000;2000;DV;21;25;1  19-25;42;5  41-45;2  2000;17;4  15-19;19-25;1;41-45;5;15-19;4
7395;3;0;0;A;24/11/1983;0;2;11/09/2001;2001;DV;21;20;1  19-25;38;4  36-40;3  2001;18;4  15-19;19-25;1;36-40;4;15-19;4
7396;3;0;0;A;24/11/1983;0;2;13/08/2004;2004;DV;21;22;1  19-25;43;5  41-45;6  2004;21;5  20-24;19-25;1;41-45;5;20-24;5
7397;2;0;0;M;13/12/1983;0;2;15/12/2004;2004;DV;21;20;1  19-25;41;5  41-45;6  2004;21;5  20-24;19-25;1;41-45;5;20-24;5
7398;2;0;0;C;20/12/1983;0;2;30/10/2006;2006;DV;21;25;1  19-25;48;6  46-50;8  2006;23;5  20-24;19-25;1;46-50;6;20-24;5
7399;2;0;0;A;13/01/1984;0;2;13/12/1999;1999;DV;21;25;1  19-25;40;4  36-40;1  1999;15;4  15-19;19-25;1;36-40;4;15-19;4
7400;2;0;0;M;21/03/1979;0;2;15/09/2006;2006;DV;21;45;5  41-45;72;b  71-+;8  2006;27;6  25-29;41-45;5;71-+;b;25-29;6
7401;2;0;0;A;27/03/1979;0;2;12/03/1999;1999;DV;21;35;3  31-35;55;7  51-55;1  1999;20;5  20-24;31-35;3;51-55;7;20-24;5
7402;3;0;0;M;07/06/1979;0;2;27/01/2003;2003;DV;21;38;4  36-40;62;9  61-65;5  2003;24;5  20-24;36-40;4;61-65;9;20-24;5
7403;3;0;0;A;08/06/1979;0;2;03/11/2004;2004;DV;21;38;4  36-40;63;9  61-65;6  2004;25;6  25-29;36-40;4;61-65;9;25-29;6
7404;2;0;0;A;08/06/1979;0;2;12/05/1999;1999;DV;21;42;5  41-45;62;9  61-65;1  1999;20;5  20-24;41-45;5;61-65;9;20-24;5
7405;2;0;0;A;13/06/1979;0;2;25/01/2006;2006;DV;21;50;6  46-50;77;b  71-+;8  2006;27;6  25-29;46-50;6;71-+;b;25-29;6
7406;2;0;0;M;11/06/1979;0;2;13/06/2005;2005;DV;21;34;3  31-35;60;8  56-60;7  2005;26;6  25-29;31-35;3;56-60;8;25-29;6
7407;2;0;0;A;15/06/1979;0;2;30/10/2000;2000;DV;21;54;7  51-55;75;b  71-+;2  2000;21;5  20-24;51-55;7;71-+;b;20-24;5
7408;2;0;0;A;25/06/1979;0;2;17/08/2001;2001;DV;21;47;6  46-50;69;a  66-70;3  2001;22;5  20-24;46-50;6;66-70;a;20-24;5
7409;3;0;0;A;14/06/1979;0;2;21/03/2005;2005;DV;21;43;5  41-45;69;a  66-70;7  2005;26;6  25-29;41-45;5;66-70;a;25-29;6
7410;3;0;0;A;23/07/1979;2;2;23/07/1999;1999;DV;21;27;2  26-30;47;6  46-50;1  1999;20;5  20-24;26-30;2;46-50;6;20-24;5
7411;3;0;0;A;31/07/1979;0;2;29/12/2003;2003;DV;21;57;8  56-+;81;b  71-+;5  2003;24;5  20-24;56-+;8;71-+;b;20-24;5
7412;3;0;0;A;08/08/1979;0;2;03/06/1999;1999;DV;21;37;4  36-40;57;8  56-60;1  1999;20;5  20-24;36-40;4;56-60;8;20-24;5
7413;3;0;0;A;30/08/1979;0;2;12/10/2000;2000;DV;21;54;7  51-55;75;b  71-+;2  2000;21;5  20-24;51-55;7;71-+;b;20-24;5
7414;2;0;0;A;27/09/1979;0;2;02/05/2000;2000;DV;21;38;4  36-40;59;8  56-60;2  2000;21;5  20-24;36-40;4;56-60;8;20-24;5
7415;2;0;0;A;04/10/1979;0;2;22/06/2006;2006;DV;21;29;2  26-30;56;8  56-60;8  2006;27;6  25-29;26-30;2;56-60;8;25-29;6
7416;3;0;0;M;09/10/1979;0;2;12/12/2005;2005;DV;21;41;5  41-45;67;a  66-70;7  2005;26;6  25-29;41-45;5;66-70;a;25-29;6
7417;2;0;0;A;15/10/1979;0;2;03/06/1999;1999;DV;21;41;5  41-45;61;9  61-65;1  1999;20;5  20-24;41-45;5;61-65;9;20-24;5
7418;3;0;0;A;17/10/1979;0;2;19/11/1999;1999;DV;21;36;4  36-40;56;8  56-60;1  1999;20;5  20-24;36-40;4;56-60;8;20-24;5
7419;3;0;0;A;18/10/1979;0;2;30/10/2002;2002;DV;21;54;7  51-55;77;b  71-+;4  2002;23;5  20-24;51-55;7;71-+;b;20-24;5
7420;3;2375;1;M;12/11/1979;0;2;05/08/2005;2005;DV;21;29;2  26-30;55;7  51-55;7  2005;26;6  25-29;26-30;2;51-55;7;25-29;6
7421;3;0;0;A;19/11/1979;0;2;28/02/2006;2006;DV;21;54;7  51-55;81;b  71-+;8  2006;27;6  25-29;51-55;7;71-+;b;25-29;6
7422;4;0;0;C;06/12/1979;0;2;21/03/2002;2002;DV;21;23;1  19-25;46;6  46-50;4  2002;23;5  20-24;19-25;1;46-50;6;20-24;5
7423;2;0;0;A;12/12/1979;0;2;14/02/2000;2000;DV;21;32;3  31-35;53;7  51-55;2  2000;21;5  20-24;31-35;3;51-55;7;20-24;5
7424;2;0;0;A;13/12/1979;0;2;06/12/2000;2000;DV;21;64;8  56-+;85;b  71-+;2  2000;21;5  20-24;56-+;8;71-+;b;20-24;5
7425;3;0;0;M;13/12/1979;0;2;31/01/2005;2005;DV;21;25;1  19-25;51;7  51-55;7  2005;26;6  25-29;19-25;1;51-55;7;25-29;6
7426;3;0;0;M;21/01/1980;0;2;22/07/2005;2005;DA;21;30;2  26-30;55;7  51-55;7  2005;25;6  25-29;26-30;2;51-55;7;25-29;6
7427;2;0;0;A;18/02/1980;0;2;29/09/2004;2004;DV;21;45;5  41-45;69;a  66-70;6  2004;24;5  20-24;41-45;5;66-70;a;20-24;5
7428;2;1981;3;D;25/02/1980;0;2;17/05/1999;1999;DV;21;30;2  26-30;49;6  46-50;1  1999;19;4  15-19;26-30;2;46-50;6;15-19;4
7429;2;0;0;A;27/02/1980;0;2;07/07/2003;2003;DV;21;59;8  56-+;82;b  71-+;5  2003;23;5  20-24;56-+;8;71-+;b;20-24;5
7430;3;0;0;M;28/03/1980;0;2;27/01/2005;2005;DV;21;32;3  31-35;57;8  56-60;7  2005;25;6  25-29;31-35;3;56-60;8;25-29;6
7431;3;0;0;A;31/03/1980;0;2;05/08/2003;2003;DV;21;36;4  36-40;59;8  56-60;5  2003;23;5  20-24;36-40;4;56-60;8;20-24;5
7432;2;0;0;A;31/03/1980;0;2;05/08/2003;2003;DV;21;48;6  46-50;71;b  71-+;5  2003;23;5  20-24;46-50;6;71-+;b;20-24;5
7433;3;0;0;A;10/04/1980;0;2;14/04/1999;1999;DV;21;42;5  41-45;61;9  61-65;1  1999;19;4  15-19;41-45;5;61-65;9;15-19;4
7434;2;0;0;A;10/04/1980;0;2;14/04/1999;1999;DV;21;40;4  36-40;59;8  56-60;1  1999;19;4  15-19;36-40;4;56-60;8;15-19;4
7435;4;0;0;C;29/04/1980;0;2;07/05/1999;1999;DV;21;57;8  56-+;76;b  71-+;1  1999;19;4  15-19;56-+;8;71-+;b;15-19;4
7436;4;0;0;C;02/05/1980;0;2;25/01/1999;1999;DV;21;50;6  46-50;69;a  66-70;1  1999;19;4  15-19;46-50;6;66-70;a;15-19;4
7437;2;0;0;A;06/05/1980;0;2;04/06/2003;2003;DV;21;37;4  36-40;60;8  56-60;5  2003;23;5  20-24;36-40;4;56-60;8;20-24;5
7438;3;0;0;A;09/05/1980;0;2;22/03/1999;1999;DV;21;42;5  41-45;61;9  61-65;1  1999;19;4  15-19;41-45;5;61-65;9;15-19;4
7439;2;0;0;A;16/05/1980;0;2;30/09/2002;2002;DV;21;28;2  26-30;50;6  46-50;4  2002;22;5  20-24;26-30;2;46-50;6;20-24;5
7440;3;0;0;A;22/05/1980;0;2;07/01/2004;2004;DV;21;55;7  51-55;79;b  71-+;6  2004;24;5  20-24;51-55;7;71-+;b;20-24;5
7441;3;0;0;M;22/05/1980;0;2;22/03/2004;2004;DA;21;50;6  46-50;74;b  71-+;6  2004;24;5  20-24;46-50;6;71-+;b;20-24;5
7442;4;0;0;C;03/06/1980;0;2;12/04/2005;2005;DV;21;25;1  19-25;50;6  46-50;7  2005;25;6  25-29;19-25;1;46-50;6;25-29;6
7443;2;0;0;M;16/06/1980;0;2;12/09/2006;2006;DV;21;35;3  31-35;61;9  61-65;8  2006;26;6  25-29;31-35;3;61-65;9;25-29;6
7444;2;0;0;A;24/06/1980;0;2;23/03/2004;2004;DV;21;35;3  31-35;59;8  56-60;6  2004;24;5  20-24;31-35;3;56-60;8;20-24;5
7445;2;1829;0;D;25/06/1980;0;2;08/12/2005;2005;DV;21;36;4  36-40;61;9  61-65;7  2005;25;6  25-29;36-40;4;61-65;9;25-29;6
7446;4;0;0;C;25/06/1980;0;2;23/03/2006;2006;DV;21;30;2  26-30;56;8  56-60;8  2006;26;6  25-29;26-30;2;56-60;8;25-29;6
7447;3;0;0;A;26/06/1980;0;2;03/10/2003;2003;DV;21;28;2  26-30;51;7  51-55;5  2003;23;5  20-24;26-30;2;51-55;7;20-24;5
7448;2;0;0;A;26/06/1980;0;2;06/10/2003;2003;DV;21;30;2  26-30;53;7  51-55;5  2003;23;5  20-24;26-30;2;51-55;7;20-24;5
7449;2;0;0;A;27/06/1980;0;2;09/06/1999;1999;DV;21;47;6  46-50;66;a  66-70;1  1999;19;4  15-19;46-50;6;66-70;a;15-19;4
7450;2;0;0;A;07/07/1980;0;2;21/07/2000;2000;DV;21;45;5  41-45;65;9  61-65;2  2000;20;5  20-24;41-45;5;61-65;9;20-24;5
7451;2;0;0;A;07/10/1980;0;2;14/06/2002;2002;DV;21;42;5  41-45;64;9  61-65;4  2002;22;5  20-24;41-45;5;61-65;9;20-24;5
7452;3;0;0;A;14/10/1980;0;2;04/06/2004;2004;DV;21;38;4  36-40;62;9  61-65;6  2004;24;5  20-24;36-40;4;61-65;9;20-24;5
7453;3;0;0;A;30/10/1980;0;2;26/04/1999;1999;DV;21;32;3  31-35;51;7  51-55;1  1999;19;4  15-19;31-35;3;51-55;7;15-19;4
7454;2;0;0;A;10/11/1980;0;2;28/11/2005;2005;DV;21;45;5  41-45;70;a  66-70;7  2005;25;6  25-29;41-45;5;66-70;a;25-29;6
7455;4;0;0;C;12/11/1980;0;2;25/04/2000;2000;DV;21;27;2  26-30;47;6  46-50;2  2000;20;5  20-24;26-30;2;46-50;6;20-24;5
7456;3;0;0;A;09/12/1980;0;2;09/01/2003;2003;DV;21;23;1  19-25;46;6  46-50;5  2003;23;5  20-24;19-25;1;46-50;6;20-24;5
7457;3;0;0;D;24/12/1980;0;2;25/09/2003;2003;DV;21;33;3  31-35;56;8  56-60;5  2003;23;5  20-24;31-35;3;56-60;8;20-24;5
7458;4;0;0;C;06/01/1981;0;2;17/08/2005;2005;DV;21;35;3  31-35;59;8  56-60;7  2005;24;5  20-24;31-35;3;56-60;8;20-24;5
7459;3;0;0;A;19/01/1981;0;2;10/11/2004;2004;DV;21;52;7  51-55;75;b  71-+;6  2004;23;5  20-24;51-55;7;71-+;b;20-24;5
7460;3;0;0;A;20/01/1981;0;2;02/01/2006;2006;DV;21;36;4  36-40;61;9  61-65;8  2006;25;6  25-29;36-40;4;61-65;9;25-29;6
7461;4;0;0;C;26/01/1981;0;2;24/04/2006;2006;DV;21;31;3  31-35;56;8  56-60;8  2006;25;6  25-29;31-35;3;56-60;8;25-29;6
7462;2;0;0;A;10/03/1981;2;2;11/02/2004;2004;DA;21;25;1  19-25;48;6  46-50;6  2004;23;5  20-24;19-25;1;46-50;6;20-24;5
7463;3;0;0;M;11/03/1981;0;2;06/02/2001;2001;DA;21;34;3  31-35;54;7  51-55;3  2001;20;5  20-24;31-35;3;51-55;7;20-24;5
7464;3;0;0;A;07/04/1981;0;2;01/12/2005;2005;DV;21;26;2  26-30;50;6  46-50;7  2005;24;5  20-24;26-30;2;46-50;6;20-24;5
7465;2;0;0;A;23/04/1981;0;2;05/01/2004;2004;DV;21;35;3  31-35;58;8  56-60;6  2004;23;5  20-24;31-35;3;56-60;8;20-24;5
7466;2;0;0;A;22/04/1981;0;2;09/10/2002;2002;DV;21;30;2  26-30;51;7  51-55;4  2002;21;5  20-24;26-30;2;51-55;7;20-24;5
7467;3;0;2;M;12/05/1981;0;2;27/06/2002;2002;DV;21;22;1  19-25;43;5  41-45;4  2002;21;5  20-24;19-25;1;41-45;5;20-24;5
7468;3;0;0;M;13/05/1981;0;2;31/01/2006;2006;DA;21;35;3  31-35;60;8  56-60;8  2006;25;6  25-29;31-35;3;56-60;8;25-29;6
7469;3;0;0;M;14/05/1981;0;2;19/05/2006;2006;DV;21;44;5  41-45;69;a  66-70;8  2006;25;6  25-29;41-45;5;66-70;a;25-29;6
7470;3;0;0;A;16/07/1981;0;2;30/03/2000;2000;DV;21;44;5  41-45;63;9  61-65;2  2000;19;4  15-19;41-45;5;61-65;9;15-19;4
7471;2;0;0;A;30/07/1981;0;2;23/12/2003;2003;DV;21;38;4  36-40;60;8  56-60;5  2003;22;5  20-24;36-40;4;56-60;8;20-24;5
7472;3;0;0;D;03/08/1981;0;2;30/06/2003;2003;DV;21;31;3  31-35;53;7  51-55;5  2003;22;5  20-24;31-35;3;51-55;7;20-24;5
7473;2;0;0;A;07/08/1981;0;2;02/01/2006;2006;DV;21;35;3  31-35;60;8  56-60;8  2006;25;6  25-29;31-35;3;56-60;8;25-29;6
7474;4;0;0;C;31/08/1981;0;2;26/06/2002;2002;DV;21;37;4  36-40;58;8  56-60;4  2002;21;5  20-24;36-40;4;56-60;8;20-24;5
7475;2;0;0;A;03/09/1981;0;2;23/09/2005;2005;DV;10;54;7  51-55;78;b  71-+;7  2005;24;5  20-24;51-55;7;71-+;b;20-24;5
7476;4;0;0;C;09/09/1981;0;2;26/04/2006;2006;DV;21;38;4  36-40;63;9  61-65;8  2006;25;6  25-29;36-40;4;61-65;9;25-29;6
7477;2;0;0;A;02/10/1981;0;2;11/05/2004;2004;DV;21;47;6  46-50;70;a  66-70;6  2004;23;5  20-24;46-50;6;66-70;a;20-24;5
7478;2;0;0;C;15/10/1981;0;2;16/04/2002;2002;DV;21;25;1  19-25;46;6  46-50;4  2002;21;5  20-24;19-25;1;46-50;6;20-24;5
7479;3;1667;0;D;21/10/1981;0;2;20/11/2006;2006;RA;21;31;3  31-35;56;8  56-60;8  2006;25;6  25-29;31-35;3;56-60;8;25-29;6
7480;2;0;0;A;23/10/1981;0;2;02/09/2003;2003;DV;21;51;7  51-55;73;b  71-+;5  2003;22;5  20-24;51-55;7;71-+;b;20-24;5
7481;3;0;0;A;09/11/1981;0;2;05/04/2004;2004;DV;21;45;5  41-45;68;a  66-70;6  2004;23;5  20-24;41-45;5;66-70;a;20-24;5
7482;2;0;0;A;09/11/1981;0;2;27/09/2002;2002;DV;21;22;1  19-25;43;5  41-45;4  2002;21;5  20-24;19-25;1;41-45;5;20-24;5
7483;4;0;0;C;18/11/1981;0;2;10/04/2000;2000;DV;21;23;1  19-25;42;5  41-45;2  2000;19;4  15-19;19-25;1;41-45;5;15-19;4
7484;3;0;0;A;18/11/1981;0;2;12/05/1999;1999;DV;21;48;6  46-50;66;a  66-70;1  1999;18;4  15-19;46-50;6;66-70;a;15-19;4
7485;2;3811;0;A;08/12/1981;0;2;06/10/2000;2000;DV;21;38;4  36-40;57;8  56-60;2  2000;19;4  15-19;36-40;4;56-60;8;15-19;4
7486;2;0;0;A;26/01/1982;0;2;21/09/2001;2001;DV;21;32;3  31-35;51;7  51-55;3  2001;19;4  15-19;31-35;3;51-55;7;15-19;4
